url,nazev,nace,ulice_cp,psc_obec,souradnice,adm,prikon,paliva,nox,co,voc,tzl,so2,ostatni,amoniak,co2
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/698270023_CZ.html,Jaroslav Kubš,257000,111,352 01 Aš,"50° 12´ 15.370"" sš 12° 12´ 31.688"" vd",11846674,,,n/a,n/a,n/a,n/a,n/a,"1,054",n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410212532_CZ.html,"JSP International, s.r.o. - Cheb",201600,Průmyslový park 158/11,350 02 Cheb,"50° 5´ 15.788"" sš 12° 24´ 28.855"" vd",26691311,"8,2",zemní plyn (průměrná výhř. 34050 kJ/m3),"0,065","0,001","0,002","0,018","0,009","0,278",n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410510492_CZ.html,"KaPo-ZDP, s.r.o.",161000,,353 01 Stará Voda,"49° 59´ 30.007"" sš 12° 35´ 44.998"" vd",n/a,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410200482_CZ.html,Kaufland ČR v.o.s. - Cheb,471100,Pivovarská 1677/19,350 02 Cheb,"50° 4´ 42.156"" sš 12° 22´ 43.122"" vd",20909365,"1,2","nafta, zemní plyn (průměrná výhř. 34050 kJ/m3)","0,088","0,000",n/a,"0,003","0,001",n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410512832_CZ.html,Kaufland ČR v.o.s. - Mariánské Lázně,471100,Chebská 713/16a,353 01 Mariánské Lázně,"49° 57´ 55.882"" sš 12° 41´ 51.269"" vd",26566583,"0,6",nafta,"0,007","0,000",n/a,"0,002","0,001",n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/634648091_CZ.html,"KG Energo s.r.o. - Františkolázeňská výtopna, s.r.o.",353010,Konečná 219/10,351 01 Františkovy Lázně,"50° 7´ 39.352"" sš 12° 21´ 12.996"" vd",12974404,"19,8",hnědé uhlí prachové,"30,540","29,110",n/a,"0,720","151,370","7,460",n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/634640033_CZ.html,"KOMTERM Čechy, s.r.o. - záložní zdroj pro výtopnu Františkovy Lázně",353010,Konečná 219/10,351 01 Františkovy Lázně,"50° 7´ 39.352"" sš 12° 21´ 12.996"" vd",12974404,"19,2",zemní plyn (průměrná výhř. 34050 kJ/m3),"0,316","0,000",n/a,n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/650910111_CZ.html,KOVO Engineering s. r. o. - provozovna,292000,Americká 278/16,350 02 Cheb,"50° 4´ 27.860"" sš 12° 21´ 44.702"" vd",20893035,,,n/a,n/a,"4,727",n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410506852_CZ.html,KV - leasing a.s. - RMV Teplá,473000,Máchova 451,364 61 Teplá,"49° 58´ 32.947"" sš 12° 51´ 24.649"" vd",12002364,,,n/a,n/a,"0,042",n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410170042_CZ.html,"LB,  spol. s.r.o. - Kamenolom Lipná",431200,,351 32 Hazlov,"50° 9´ 56.201"" sš 12° 14´ 53.188"" vd",n/a,,,n/a,n/a,n/a,"0,180",n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410200422_CZ.html,"LB MINERALS, s.r.o. - Skalná",081200,Tovární 270,351 34 Skalná,"50° 10´ 17.020"" sš 12° 22´ 11.608"" vd",3814131,,,"0,466","3,142",n/a,"0,461",n/a,n/a,n/a,n/a
