zdroj_id,nazev,mnozstvi
732450781,organické látky vyjádřené jako TOC,0.865
732450781,těkavé organické látky (VOC),4.16
119804492,tuhé znečišťující látky,0.001
119804492,oxidy dusíku,0.012
119804492,oxid uhelnatý,0.006
119804492,organické látky vyjádřené jako TOC,0.002
119804492,těkavé organické látky (VOC),0.002
310060342,oxidy dusíku,0.29
310060342,oxid uhelnatý,0.019
310069512,tetrachlorethylen,0.319
730100153,tuhé znečišťující látky,0.006
730100153,oxid siřičitý,0.003
730100153,oxidy dusíku,0.33
730100153,oxid uhelnatý,0.012
730100153,organické látky vyjádřené jako TOC,0.003
730100353,tuhé znečišťující látky,0.009
730100353,oxid siřičitý,0.006
730100353,oxidy dusíku,0.573
730100353,oxid uhelnatý,0.006
730100353,organické látky vyjádřené jako TOC,0.029
119812332,tuhé znečišťující látky,0.0
119812332,oxid siřičitý,0.0
119812332,oxidy dusíku,0.035
119812332,oxid uhelnatý,0.008
119812332,organické látky vyjádřené jako TOC,0.0
119806382,tuhé znečišťující látky,0.0
119806382,oxid siřičitý,0.0
119806382,oxidy dusíku,0.013
119806382,oxid uhelnatý,0.006
119806382,organické látky vyjádřené jako TOC,0.0
732451021,oxidy dusíku,1.903
732451021,oxid uhelnatý,0.037
731640013,oxidy dusíku,0.006
731640013,oxid uhelnatý,0.004
731640023,oxidy dusíku,0.017
731640023,oxid uhelnatý,0.007
310097642,oxidy dusíku,0.572
310097642,oxid uhelnatý,0.023
310099372,oxidy dusíku,0.654
310099372,oxid uhelnatý,0.029
310000442,oxidy dusíku,0.099
310000442,oxid uhelnatý,0.004
310094272,oxidy dusíku,0.155
310094272,oxid uhelnatý,0.0
728220871,oxidy dusíku,0.822
728220871,oxid uhelnatý,0.146
732051011,oxidy dusíku,0.127
732051011,oxid uhelnatý,0.005
731940203,oxidy dusíku,0.354
731940203,oxid uhelnatý,0.015
738620091,tuhé znečišťující látky,8.877
738620091,oxid siřičitý,17.477
738620091,oxidy dusíku,830.284
738620091,oxid uhelnatý,112.29
738620091,organické látky vyjádřené jako TOC,3.838
738620091,amoniak,40.623
738620091,"antimon a jeho sloučeniny, vyjádřené jako Sb",0.007459
738620091,arsen,0.004455
738620091,chrom (bez šestimocného chromu),0.003294
738620091,"kadmium a jeho sloučeniny, vyjádřené jako Cd",0.000552
738620091,"kobalt a jeho sloučeniny, vyjádřené jako Co",0.002407
738620091,"mangan a jeho sloučeniny, vyjádřené jako Mn",0.012042
738620091,"měď a její sloučeniny, vyjádřené jako Cu",0.008413
738620091,"nikl a jeho sloučeniny, vyjádřené jako Ni",0.002331
738620091,"olovo a jeho sloučeniny, vyjádřené jako Pb",0.04163
738620091,"rtuť její sloučeniny, vyjádřené jako Hg",0.014282
738620091,"thalium a jeho sloučeniny, vyjádřené jako Tl",0.0088
738620091,"vanad a jeho sloučeniny, vyjádřené jako V",0.002837
738620091,polychlorované dibenzodioxiny a dibenzofurany,1.22e-08
738620091,"fluor a jeho anorg.sloučeniny, vyjádřené jako F",0.0
738620091,plynné sloučeniny chloru vyjádřené jako chlorovodík,0.363
310097982,tuhé znečišťující látky,0.441
310097992,tuhé znečišťující látky,0.051
319900842,těkavé organické látky (VOC),0.863
319900362,těkavé organické látky (VOC),0.536
732050411,tuhé znečišťující látky,0.156
732050411,těkavé organické látky (VOC),1.095
310065712,těkavé organické látky (VOC),0.509
728220101,těkavé organické látky (VOC),1.018
731430741,těkavé organické látky (VOC),0.646
729700251,těkavé organické látky (VOC),0.901
732250871,těkavé organické látky (VOC),0.197
732450371,tuhé znečišťující látky,0.312
732450371,oxidy dusíku,0.034
732450371,oxid uhelnatý,0.023
732450371,těkavé organické látky (VOC),9.853
731940301,tuhé znečišťující látky,0.001
731940301,oxidy dusíku,0.124
731940301,oxid uhelnatý,0.005
731940301,organické látky vyjádřené jako TOC,0.158
731940301,těkavé organické látky (VOC),1.331
731640791,tuhé znečišťující látky,0.002
731640791,oxidy dusíku,0.044
731640791,organické látky vyjádřené jako TOC,0.035
731640791,těkavé organické látky (VOC),0.012
731230063,tuhé znečišťující látky,1.115
773420203,oxidy dusíku,0.1
773420203,oxid uhelnatý,0.004
773420203,těkavé organické látky (VOC),2.115
310067802,oxidy dusíku,0.03
310067802,oxid uhelnatý,0.001
310001782,tuhé znečišťující látky,0.001
310001782,oxid siřičitý,0.001
310001782,oxidy dusíku,0.111
310001782,oxid uhelnatý,0.008
310001782,organické látky vyjádřené jako TOC,0.002
310011892,tuhé znečišťující látky,0.001
310011892,oxid siřičitý,0.001
310011892,oxidy dusíku,0.008
310011892,oxid uhelnatý,0.001
310011892,organické látky vyjádřené jako TOC,0.003
731520023,tuhé znečišťující látky,0.005
731520023,oxid siřičitý,0.006
731520023,oxidy dusíku,0.288
731520023,oxid uhelnatý,0.004
731520023,oxid uhličitý,487.954
728310591,tuhé znečišťující látky,0.014
728310591,oxidy dusíku,2.288
728310591,oxid uhelnatý,0.796
728768841,oxidy dusíku,4.269
728768841,oxid uhelnatý,0.864
728768841,těkavé organické látky (VOC),13.962
729580123,oxidy dusíku,0.813
729580123,oxid uhelnatý,0.071
732318381,oxidy dusíku,0.019
732318381,oxid uhelnatý,0.01
728951001,tuhé znečišťující látky,0.026
728951001,oxid siřičitý,0.045
728951001,oxidy dusíku,7.078
728951001,oxid uhelnatý,0.381
728951001,organické látky vyjádřené jako TOC,0.027
728951001,"antimon a jeho sloučeniny, vyjádřené jako Sb",1.9512e-05
728951001,arsen,1.8678e-05
728951001,chrom (bez šestimocného chromu),1.2e-05
728951001,"kadmium a jeho sloučeniny, vyjádřené jako Cd",2.041e-06
728951001,"kobalt a jeho sloučeniny, vyjádřené jako Co",3.957e-06
728951001,"mangan a jeho sloučeniny, vyjádřené jako Mn",6.892e-06
728951001,"měď a její sloučeniny, vyjádřené jako Cu",2.1487e-05
728951001,"nikl a jeho sloučeniny, vyjádřené jako Ni",3.947e-05
728951001,"olovo a jeho sloučeniny, vyjádřené jako Pb",2.287e-05
728951001,"rtuť její sloučeniny, vyjádřené jako Hg",0.000309196
728951001,"thalium a jeho sloučeniny, vyjádřené jako Tl",1.9027e-05
728951001,"vanad a jeho sloučeniny, vyjádřené jako V",1.9201e-05
728951001,polychlorované dibenzodioxiny a dibenzofurany,3.2e-11
728951001,"fluor a jeho anorg.sloučeniny, vyjádřené jako F",0.001643
728951001,plynné sloučeniny chloru vyjádřené jako chlorovodík,0.048682
920770193,oxidy dusíku,0.022
920770193,oxid uhelnatý,0.018
310095062,methan,18.35
643770043,těkavé organické látky (VOC),1.257
310067402,tuhé znečišťující látky,0.0
310067402,organické látky vyjádřené jako TOC,0.603
310065632,oxidy dusíku,0.156
310065632,oxid uhelnatý,0.005
310067812,tuhé znečišťující látky,0.029
310067812,oxid siřičitý,0.001
310067812,oxidy dusíku,0.184
310067812,oxid uhelnatý,0.031
310067812,organické látky vyjádřené jako TOC,0.006
310055722,organické látky vyjádřené jako TOC,0.86
310053732,tuhé znečišťující látky,0.935
310053732,oxidy dusíku,0.09
310053732,oxid uhelnatý,0.004
727020361,oxidy dusíku,0.422
727020361,oxid uhelnatý,0.035
727020361,tetrachlorethylen,0.088
683970023,tuhé znečišťující látky,0.043
683970023,oxidy dusíku,2.566
683970023,oxid uhelnatý,1.248
310038582,oxidy dusíku,0.043
310038582,oxid uhelnatý,0.056
310066412,chrom šestimocný,2.4e-05
310066412,plynné sloučeniny chloru vyjádřené jako chlorovodík,0.0034
310099322,tuhé znečišťující látky,0.0
310099322,oxid siřičitý,0.268
310099322,oxidy dusíku,4.208
310099322,oxid uhelnatý,1.165
310099322,organické látky vyjádřené jako TOC,0.156
310099322,těkavé organické látky (VOC),0.196
310099322,"fluor a jeho anorg.sloučeniny, vyjádřené jako F",0.082
727070221,tuhé znečišťující látky,0.078
727070221,oxid siřičitý,0.002
727070221,oxidy dusíku,0.495
727070221,oxid uhelnatý,0.083
727070221,organické látky vyjádřené jako TOC,0.017
310059712,oxidy dusíku,0.078
310059712,oxid uhelnatý,0.019
310059712,těkavé organické látky (VOC),0.247
310093702,oxidy dusíku,0.006
310093702,oxid uhelnatý,0.001
310093702,těkavé organické látky (VOC),0.241
310064932,oxidy dusíku,0.355
310064932,oxid uhelnatý,0.036
310064932,těkavé organické látky (VOC),0.705
755540323,těkavé organické látky (VOC),1.23
728160233,oxidy dusíku,0.0
728160233,oxid uhelnatý,0.0
728610123,oxidy dusíku,0.07
728610123,oxid uhelnatý,0.017
119800092,oxidy dusíku,0.049
119800092,oxid uhelnatý,0.021
119800302,oxidy dusíku,0.109
119800302,oxid uhelnatý,0.004
731750053,oxidy dusíku,0.078
731750053,oxid uhelnatý,0.006
731750053,organické látky vyjádřené jako TOC,1.113
731750053,těkavé organické látky (VOC),0.2
729350043,oxidy dusíku,0.465
729350043,oxid uhelnatý,0.01
629950023,oxidy dusíku,0.03
629950023,oxid uhelnatý,0.001
629950023,organické látky vyjádřené jako TOC,0.197
629950023,těkavé organické látky (VOC),0.879
310091212,oxidy dusíku,0.289
310091212,oxid uhelnatý,0.089
729710511,těkavé organické látky (VOC),0.38
727020271,těkavé organické látky (VOC),0.094
731280871,těkavé organické látky (VOC),0.451
731568461,těkavé organické látky (VOC),0.27
793260751,těkavé organické látky (VOC),0.407
732510791,těkavé organické látky (VOC),0.253
727160531,těkavé organické látky (VOC),0.714
727758271,těkavé organické látky (VOC),0.69
731670651,těkavé organické látky (VOC),0.599
732250951,těkavé organické látky (VOC),0.446
731338281,těkavé organické látky (VOC),0.118
731430671,těkavé organické látky (VOC),0.393
728730731,těkavé organické látky (VOC),0.244
727870851,těkavé organické látky (VOC),0.477
729050631,těkavé organické látky (VOC),1.001
727070381,těkavé organické látky (VOC),0.681
728220841,těkavé organické látky (VOC),0.145
119814672,těkavé organické látky (VOC),0.112
728160701,tuhé znečišťující látky,0.151
728160701,oxid siřičitý,0.005
728160701,oxidy dusíku,0.96
728160701,oxid uhelnatý,0.16
728160701,organické látky vyjádřené jako TOC,0.032
727071163,tuhé znečišťující látky,0.0
727071163,oxid siřičitý,0.0
727071163,oxidy dusíku,0.532
727071163,oxid uhelnatý,0.131
727071163,organické látky vyjádřené jako TOC,0.0
643770313,těkavé organické látky (VOC),0.007
310095522,těkavé organické látky (VOC),0.019
119813322,oxidy dusíku,0.436
119813322,oxid uhelnatý,0.221
119813912,oxidy dusíku,1.004
119813912,oxid uhelnatý,0.577
119813922,oxidy dusíku,0.478
119813922,oxid uhelnatý,0.275
727590073,tuhé znečišťující látky,0.0
727590073,oxid siřičitý,0.0
727590073,oxidy dusíku,0.009
727590073,oxid uhelnatý,0.001
727590073,organické látky vyjádřené jako TOC,0.0
727590063,tuhé znečišťující látky,0.0
727590063,oxid siřičitý,0.0
727590063,oxidy dusíku,0.022
727590063,oxid uhelnatý,0.003
727590063,organické látky vyjádřené jako TOC,0.0
727590053,tuhé znečišťující látky,0.0
727590053,oxid siřičitý,0.0
727590053,oxidy dusíku,0.002
727590053,oxid uhelnatý,0.0
727590053,organické látky vyjádřené jako TOC,0.0
310095432,oxidy dusíku,0.848
310095432,oxid uhelnatý,0.112
727078211,těkavé organické látky (VOC),0.058
920770053,těkavé organické látky (VOC),0.022
729588471,těkavé organické látky (VOC),0.022
728610721,tuhé znečišťující látky,0.008
728610721,oxidy dusíku,0.321
728610721,oxid uhelnatý,0.006
728610721,organické látky vyjádřené jako TOC,0.818
728610721,těkavé organické látky (VOC),4.348
728610721,plynné sloučeniny chloru vyjádřené jako chlorovodík,0.0079
731941001,těkavé organické látky (VOC),0.056
643770693,organické látky vyjádřené jako TOC,1.852
643770693,těkavé organické látky (VOC),0.635
310070772,oxidy dusíku,0.259
310070772,oxid uhelnatý,0.0
310057062,oxidy dusíku,0.011
310057062,oxid uhelnatý,0.0
310003522,oxidy dusíku,0.208
310003522,oxid uhelnatý,0.006
310049982,oxidy dusíku,0.203
310049982,oxid uhelnatý,0.137
310039662,oxidy dusíku,0.004
310039662,oxid uhelnatý,0.012
119805442,tuhé znečišťující látky,0.184
119805442,oxid siřičitý,0.031
119805442,oxidy dusíku,0.268
119805442,oxid uhelnatý,11.26
119805442,organické látky vyjádřené jako TOC,0.682
310094422,tuhé znečišťující látky,0.0
310094422,oxid siřičitý,0.0
310094422,oxidy dusíku,0.004
310094422,oxid uhelnatý,0.001
310094422,organické látky vyjádřené jako TOC,0.0
310094422,těkavé organické látky (VOC),0.432
601520053,tuhé znečišťující látky,0.03
601520053,chrom šestimocný,0.000213
601520053,"měď a její sloučeniny, vyjádřené jako Cu",1.38e-05
601520053,"nikl a jeho sloučeniny, vyjádřené jako Ni",2.3e-05
601520053,"zinek a jeho sloučeniny, vyjádřené jako Zn",8.28e-05
601520053,silné anorganické kyseliny,0.000173
601520053,plynné sloučeniny chloru vyjádřené jako chlorovodík,0.001426
119801772,tuhé znečišťující látky,0.18
119801772,oxidy dusíku,0.568
119801772,oxid uhelnatý,0.334
728830183,oxidy dusíku,0.802
728830183,oxid uhelnatý,0.024
119803192,tuhé znečišťující látky,0.041
119803192,oxid siřičitý,0.002
119803192,oxidy dusíku,0.261
119803192,oxid uhelnatý,0.043
119803192,organické látky vyjádřené jako TOC,0.009
732510043,tuhé znečišťující látky,1.013
732510043,oxidy dusíku,0.009
732510043,oxid uhelnatý,0.0
793260013,tuhé znečišťující látky,1.059
791730043,tuhé znečišťující látky,32.366
119801872,tuhé znečišťující látky,0.003
119800982,tuhé znečišťující látky,10.054
310093842,oxidy dusíku,0.18
310093842,oxid uhelnatý,0.008
728168921,těkavé organické látky (VOC),0.241
310099412,tuhé znečišťující látky,0.0
310099412,oxid siřičitý,0.0
310099412,oxidy dusíku,0.053
310099412,oxid uhelnatý,0.003
731760013,tuhé znečišťující látky,0.001
731760013,oxid siřičitý,0.0
731760013,oxidy dusíku,0.003
731760013,oxid uhelnatý,0.0
730890083,tuhé znečišťující látky,0.001
730890083,oxid siřičitý,0.0
730890083,oxidy dusíku,0.003
730890083,oxid uhelnatý,0.0
727750073,tuhé znečišťující látky,0.001
727750073,oxid siřičitý,0.0
727750073,oxidy dusíku,0.005
727750073,oxid uhelnatý,0.0
728160053,tuhé znečišťující látky,0.001
728160053,oxid siřičitý,0.0
728160053,oxidy dusíku,0.005
728160053,oxid uhelnatý,0.0
310099022,tuhé znečišťující látky,0.001
310099022,oxid siřičitý,0.0
310099022,oxidy dusíku,0.005
310099022,oxid uhelnatý,0.0
730100013,tuhé znečišťující látky,0.001
730100013,oxid siřičitý,0.0
