zdroj_id,nazev,mnozstvi
310060342,oxid uhelnatý,0.059
310069512,tetrachlorethylen,0.212
730100353,tuhé znečišťující látky,0.008
730100353,oxid siřičitý,0.004
730100353,oxidy dusíku,0.282
730100353,oxid uhelnatý,0.034
730100353,organické látky vyjádřené jako TOC,0.029
119812332,tuhé znečišťující látky,0.0
119812332,oxid siřičitý,0.0
119812332,oxidy dusíku,0.077
119812332,oxid uhelnatý,0.018
119812332,organické látky vyjádřené jako TOC,0.0
119806382,tuhé znečišťující látky,0.0
119806382,oxid siřičitý,0.0
119806382,oxidy dusíku,0.067
119806382,oxid uhelnatý,0.005
119806382,organické látky vyjádřené jako TOC,0.0
119802512,oxidy dusíku,0.124
119802512,oxid uhelnatý,0.005
732451021,oxidy dusíku,1.84
732451021,oxid uhelnatý,0.062
731640013,oxidy dusíku,0.029
731640013,oxid uhelnatý,0.001
731640023,oxidy dusíku,0.025
731640023,oxid uhelnatý,0.001
310097642,oxidy dusíku,0.377
310097642,oxid uhelnatý,0.0
310099372,oxidy dusíku,0.328
310099372,oxid uhelnatý,0.015
310000442,oxidy dusíku,0.136
310000442,oxid uhelnatý,0.006
310094272,oxidy dusíku,0.178
310094272,oxid uhelnatý,0.0
728220871,oxidy dusíku,0.856
728220871,oxid uhelnatý,0.0
732051011,oxidy dusíku,0.112
732051011,oxid uhelnatý,0.002
731940203,oxidy dusíku,0.354
731940203,oxid uhelnatý,0.015
738620091,tuhé znečišťující látky,10.481
738620091,oxid siřičitý,36.653
738620091,oxidy dusíku,871.657
738620091,oxid uhelnatý,189.727
738620091,organické látky vyjádřené jako TOC,4.761
738620091,amoniak,48.574
738620091,"antimon a jeho sloučeniny, vyjádřené jako Sb",0.00613
738620091,arsen,0.003704
738620091,chrom (bez šestimocného chromu),0.004911
738620091,"kadmium a jeho sloučeniny, vyjádřené jako Cd",0.000484
738620091,"kobalt a jeho sloučeniny, vyjádřené jako Co",0.001941
738620091,"mangan a jeho sloučeniny, vyjádřené jako Mn",0.200175002
738620091,"měď a její sloučeniny, vyjádřené jako Cu",0.017612001
738620091,"nikl a jeho sloučeniny, vyjádřené jako Ni",0.003719
738620091,"olovo a jeho sloučeniny, vyjádřené jako Pb",0.007461
738620091,"rtuť její sloučeniny, vyjádřené jako Hg",0.00687
