id,nazev,nace,nuts3,ulice_cp,psc_obec,adm,x,y,lat,lon,prikon,nox,so2,co,co2,tzl,voc,amoniak,ostatni,paliva
119805582,"Autosalon Klokočka Centrum, a.s. - provozovna Barrandov",451100,CZ010,Borského 989/1,152 00 Praha,22703454,-746393.2899999991,-1048574.5599999987,50.03352675955911,14.382280733637996,,0.018,0,0.004,0,0,0.086,0,0,
729700491,"Autosalon Klokočka Centrum a.s., provozovna Karlovarská",451100,CZ010,Karlovarská 660/117,163 00 Praha,22766103,-751664.2899999991,-1042994.3399999999,50.076712410878365,14.298661677084137,0.4,0.09,0,0.02,0,0,0.796,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
119812352,Autoservis Hoffmann s.r.o.,452000,CZ010,Průmyslová 1577,198 00 Praha,27211398,-734372.9299999997,-1044422.6400000006,50.08518793095073,14.540731789466982,,0,0,0,0,0,0.427,0,0.165,
731940303,Autosibřina s.r.o.  - lakovna,452000,CZ010,Korytná 47/3,100 00 Praha,22599614,-737931.2199999988,-1046214.3200000003,50.0649056042378,14.494855234839553,,0,0,0,0,0,0.286,0,0,
782370191,"AUTO-Tech Vinoř, s.r.o. - Praha 9",293200,CZ010,Lohenická 112,190 17 Praha,22537040,-730216.3599999994,-1037741.4899999984,50.149737726576134,14.585765727254879,0.4,0.005,0,0.001,0,0,0.826,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
728611001,"AUTOTRIO PRAHA, s.r.o. - servis",452000,CZ010,Vzpoury 2220/3,143 00 Praha,21941513,-745245.4600000009,-1053026.3000000007,49.99528613348063,14.406636635894376,,0.044,0,0.011,0,0,0,0,0,
310069582,AUTOVARS a.s.,451100,CZ010,Jankovcova 1535/2a,170 00 Praha,25120565,-739978.2100000009,-1041483.1700000018,50.104555543181455,14.457550821935042,,0.03,0,0.001,0,0,0.678,0,0,
310068902,"Avia Propeller, s.r.o.",303000,CZ010,Beranových 666,199 00 Praha,25406183,-735351.379999999,-1038598.9800000004,50.13588350941461,14.516192735613922,,0.024,0.068,0,0,0.005,0.564,0,0.026897499999999998,
310046822,Balírny Praha - Holešovice s.r.o. - Pražička kávy - Praha,108300,CZ010,Sanderova 26/1366,170 00 Praha,22310533,-739932.0500000007,-1040977.6099999994,50.10911533107355,14.457230027702133,,0.032,0,0,0,0,0,0,0,
310051792,"BAUMIT, spol. s r.o. - Praha 9, Cukrovarská",236400,CZ010,Cukrovarská 864/9,196 00 Praha,25065947,-735211.129999999,-1036767.6799999997,50.152368196537914,14.514676086708299,,1.184,0.307,4.644,0,0.713,0,0,0,
728760073,BENDIX SERVIS s.r.o.,469000,CZ010,Plzeňská 222/51,150 00 Praha,22019715,-745343.0599999987,-1044430.8299999982,50.071725464025235,14.388892914545231,,0,0,0,0,0,0.4,0,0,
732450083,"BETONBAU,  s.r.o. - nanášení NH a truhlárna",236100,CZ010,Průmyslová 698/5a,108 00 Praha,41302907,-734704.8399999999,-1044545.4400000013,50.08369169537837,14.536367396007089,,0,0,0,0,0,1.197,0,0,
643770803,BREADWAY,107100,CZ010,Vlastibořská 2790/4,193 00 Praha,27860922,-729632.1700000018,-1041052.4699999988,50.120941412611444,14.600072466807978,1.2,0.018,0,0.017,0,0,0,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
310063392,"Bredovský Dvůr Centre v.o.s. - Praha 1, Olivova",682000,CZ010,Olivova 2096/4,110 00 Praha,25463471,-742232.1400000006,-1043602.9400000013,50.08291695375815,14.430371942444232,2.5,0.366,0,0.219,0,0,0,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
738620331,"BRUDRA s.r.o. - Energo Brudra, závod Radotín - mimo provoz",464200,CZ010,Výpadová 1335,153 00 Praha,22057757,-747557.0799999982,-1053404.539999999,49.98907538977056,14.37542074094296,21.3,0,0,0,0,0,0,0,0,
738620691,"BRUDRA s.r.o. - teplárna Radotín, Praha 5",464200,CZ010,Výpadová (bez čísla popisného),153 00 Praha,22057757,-747557.0799999982,-1053404.539999999,49.98907538977056,14.37542074094296,15.7,0.28,0.001,0.141,0,0.006,0,0,0.007,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
310014202,"Calamarus, s.r.o. - Praha 9, Pod Táborem",181200,CZ010,Pod Táborem 54/10,190 00 Praha,22457739,-736206.1499999985,-1043421.4100000001,50.09188388311071,14.513459351146128,,0,0,0,0,0,0.352,0,0.174,
310094972,Caverion Česká republika s.r.o. - I.P. Pavlova,683200,CZ010,5/1789,120 00 Praha,21733996,-742400.9600000009,-1044448.2100000009,50.07518106963251,14.429643821071558,1.0,0.201,0.001,0.034,0,0.032,0,0,0.007,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
310096492,Caverion Česká republika s.r.o. - Palladium,683200,CZ010,1/1078,110 00 Praha,21709084,-742262.6799999997,-1042892.5500000007,50.08920724162729,14.428596925610664,5.2,0.559,0.004,0.114,0,0.107,0,0,0.023,nafta;zemní plyn (průměrná výhřevnost 34330 kJ/m3)
732150023,CE Colo Czech s.r.o.,631100,CZ010,Nad elektrárnou 1428/47,106 00 Praha,26161371,-738852.0700000003,-1046611.2899999991,50.06024794727072,14.482862892030168,20.2,0,0,0,0,0,0,0,0,nafta
